	en_auto_sent_bleu	en_auto_bleu	en_auto_rogue	en_auto_meteor	en_auto_TER	en_auto_CHRF++	en_google_sent_bleu	en_google_bleu	en_google_rogue	en_google_meteor	en_google_TER	en_google_CHRF++	en_nllb_sent_bleu	en_nllb_bleu	en_nllb_rogue	en_nllb_meteor	en_nllb_TER	en_nllb_CHRF++	en_marian_sent_bleu	en_marian_bleu	en_marian_rogue	en_marian_meteor	en_marian_TER	en_marian_CHRF++
65	5.25	3.1	34.96	25.31	49	53.61	24.07	10.02	55.68	58.14	36	62.95	40.05	26.68	60.79	59.87	38	64.48	36.45	25.34	67.94	72.59	39	58.31
66	11.92	5.96	53.87	61.14	47	63.27	46.71	35.49	84.26	86.55	26	85.26	14.11	7.17	57.79	62.5	33	72.82	10.08	6.16	49.54	63.2	29	65.95
67	12.42	7.73	53.97	53.57	48	59.59	23.36	11.87	64.88	55.12	36	73.35	34.33	27.78	60.92	80.67	20	72.16	28.06	22.42	54.28	78.52	26	70.31
68	20.11	14.74	48.8	39.74	46	53.21	53.27	50.18	62.46	64.93	37	62.09	34.13	21.58	59.12	64.05	26	57.37	28.6	10.58	58.86	63.47	31	53.88
69	36.68	27.57	58.67	66.86	57	60.88	31.66	22.88	56.42	75.56	68	61.34	33.18	24.87	55.61	70.63	53	58.53	23.08	8.48	48.1	61.07	59	56.0
70	2.52	2.67	30.3	18.18	54	51.65	5.61	3.27	29.83	21.74	57	42.4	6.01	3.51	30.98	32.63	59	42.4	5.69	3.32	30.98	17.54	63	42.44
71	22.29	11.22	34.07	44.6	49	45.41	29.2	23.46	35.92	47.92	39	54.58	24.32	19.34	38.51	54.61	48	44.35	16.96	8.43	34.24	55.15	69	46.75
72	1.52	1.57	27.13	30.75	91	41.46	3.5	2.01	32.08	44.13	101	42.0	15.41	6.76	50.03	66.01	77	56.97	3.81	2.19	34.41	41.8	97	39.6
73	19.63	8.87	48.7	39.21	37	61.34	16.98	13.26	34.75	32.97	63	52.15	7.98	3.97	28.94	25.51	60	37.63	29.14	23.91	43.08	50.11	45	56.53
74	3.76	2.17	32.07	26.01	107	39.55	21.71	7.64	50.68	48.35	91	55.68	30.8	24.61	55.84	52.08	83	55.89	13.7	5.24	44.38	30.53	102	50.66
75	13.25	6.67	45.11	44.6	39	46.39	6.78	3.98	43.13	41.0	46	53.83	6.29	3.68	46.79	40.61	47	54.64	22.29	11.22	48.62	37.5	31	44.74
76	14.95	9.55	64.44	66.15	21	55.65	3.59	4.08	27.78	16.67	36	39.02	3.55	3.93	30.77	24.59	37	44.9	4.4	5.23	30.3	25.42	25	35.36
